Job Title,Company Name,Required Qualifications,Required Skills,Programming Languages,LinkedIn Profile,Company Logo,Min Salary (LPA),Max Salary (LPA)
Cloud Architect,Company_13,B.Sc in IT,"Python, Node.js, CSS","Ruby, Go",https://www.linkedin.com/company/company_13,https://dummyimage.com/100x100/000/fff.png&text=Company_13,4,6
Backend Developer,Company_14,B.E. in Electronics,"C++, CSS, Deep Learning","JavaScript, Ruby",https://www.linkedin.com/company/company_14,https://dummyimage.com/100x100/000/fff.png&text=Company_14,6,8
Data Scientist,Company_15,B.E. in Electronics,"React, C++, Java","Scala, Python",https://www.linkedin.com/company/company_15,https://dummyimage.com/100x100/000/fff.png&text=Company_15,4,5
Machine Learning Engineer,Company_16,B.Sc in IT,"Java, Docker, Deep Learning","Python, Java",https://www.linkedin.com/company/company_16,https://dummyimage.com/100x100/000/fff.png&text=Company_16,5,8
Data Analyst,Company_17,MCA,"Java, CSS, Kubernetes","SQL, Java",https://www.linkedin.com/company/company_17,https://dummyimage.com/100x100/000/fff.png&text=Company_17,4,5
Software Engineer,Company_18,BCA,"Docker, React, HTML","R, Go",https://www.linkedin.com/company/company_18,https://dummyimage.com/100x100/000/fff.png&text=Company_18,4,7
UI/UX Designer,Company_19,B.Tech in Computer Science,"Node.js, CSS, Machine Learning","Scala, C++",https://www.linkedin.com/company/company_19,https://dummyimage.com/100x100/000/fff.png&text=Company_19,3,5
Machine Learning Engineer,Company_20,B.Sc in Data Science,"Node.js, C++, Java","C++, R",https://www.linkedin.com/company/company_20,https://dummyimage.com/100x100/000/fff.png&text=Company_20,4,5
DevOps Engineer,Company_21,BCA,"Deep Learning, Machine Learning, SQL","SQL, JavaScript",https://www.linkedin.com/company/company_21,https://dummyimage.com/100x100/000/fff.png&text=Company_21,4,7
Machine Learning Engineer,Company_22,B.E. in Electronics,"AWS, Kubernetes, Python","Python, SQL",https://www.linkedin.com/company/company_22,https://dummyimage.com/100x100/000/fff.png&text=Company_22,5,8
Data Analyst,Company_23,BCA,"CSS, AWS, Docker","Go, Scala",https://www.linkedin.com/company/company_23,https://dummyimage.com/100x100/000/fff.png&text=Company_23,4,7
Software Engineer,Company_24,MCA,"Python, CSS, HTML","JavaScript, Ruby",https://www.linkedin.com/company/company_24,https://dummyimage.com/100x100/000/fff.png&text=Company_24,4,6
Frontend Developer,Company_25,BCA,"HTML, CSS, Node.js","R, Ruby",https://www.linkedin.com/company/company_25,https://dummyimage.com/100x100/000/fff.png&text=Company_25,4,7
DevOps Engineer,Company_26,MCA,"Docker, Node.js, Python","Scala, R",https://www.linkedin.com/company/company_26,https://dummyimage.com/100x100/000/fff.png&text=Company_26,3,5
QA Engineer,Company_27,B.Sc in IT,"Deep Learning, Node.js, Java","Java, Python",https://www.linkedin.com/company/company_27,https://dummyimage.com/100x100/000/fff.png&text=Company_27,6,7
Machine Learning Engineer,Company_28,B.E. in Electronics,"CSS, React, Python","C++, Python",https://www.linkedin.com/company/company_28,https://dummyimage.com/100x100/000/fff.png&text=Company_28,5,8
Frontend Developer,Company_29,B.Sc in Data Science,"Deep Learning, HTML, Kubernetes","Scala, Python",https://www.linkedin.com/company/company_29,https://dummyimage.com/100x100/000/fff.png&text=Company_29,3,6
Backend Developer,Company_30,PhD in Artificial Intelligence,"Python, React, Node.js","Python, R",https://www.linkedin.com/company/company_30,https://dummyimage.com/100x100/000/fff.png&text=Company_30,3,6
Frontend Developer,Company_31,B.E. in Electronics,"Node.js, C++, Kubernetes","Python, JavaScript",https://www.linkedin.com/company/company_31,https://dummyimage.com/100x100/000/fff.png&text=Company_31,5,7
Backend Developer,Company_32,MCA,"Python, Node.js, Machine Learning","Go, JavaScript",https://www.linkedin.com/company/company_32,https://dummyimage.com/100x100/000/fff.png&text=Company_32,3,6
Data Scientist,Company_33,B.E. in Electronics,"C++, SQL, JavaScript","Ruby, R",https://www.linkedin.com/company/company_33,https://dummyimage.com/100x100/000/fff.png&text=Company_33,4,5
Data Analyst,Company_34,MCA,"Machine Learning, Docker, React","Go, Ruby",https://www.linkedin.com/company/company_34,https://dummyimage.com/100x100/000/fff.png&text=Company_34,5,8
UI/UX Designer,Company_35,MCA,"Kubernetes, React, Node.js","JavaScript, Java",https://www.linkedin.com/company/company_35,https://dummyimage.com/100x100/000/fff.png&text=Company_35,3,4
Cloud Architect,Company_36,B.Sc in Data Science,"C++, Docker, Node.js","C++, Scala",https://www.linkedin.com/company/company_36,https://dummyimage.com/100x100/000/fff.png&text=Company_36,5,8
UI/UX Designer,Company_37,PhD in Artificial Intelligence,"Deep Learning, React, AWS","JavaScript, Python",https://www.linkedin.com/company/company_37,https://dummyimage.com/100x100/000/fff.png&text=Company_37,5,6
Software Engineer,Company_38,PhD in Artificial Intelligence,"Python, HTML, Java","R, Scala",https://www.linkedin.com/company/company_38,https://dummyimage.com/100x100/000/fff.png&text=Company_38,5,8
UI/UX Designer,Company_39,PhD in Artificial Intelligence,"Machine Learning, AWS, C++","SQL, JavaScript",https://www.linkedin.com/company/company_39,https://dummyimage.com/100x100/000/fff.png&text=Company_39,5,6
Frontend Developer,Company_40,BCA,"Docker, C++, JavaScript","Python, Go",https://www.linkedin.com/company/company_40,https://dummyimage.com/100x100/000/fff.png&text=Company_40,6,9
Frontend Developer,Company_41,B.Sc in Data Science,"React, Kubernetes, Python","SQL, Ruby",https://www.linkedin.com/company/company_41,https://dummyimage.com/100x100/000/fff.png&text=Company_41,6,9
Machine Learning Engineer,Company_42,B.Tech in Computer Science,"AWS, Java, Machine Learning","C++, Python",https://www.linkedin.com/company/company_42,https://dummyimage.com/100x100/000/fff.png&text=Company_42,5,7
Data Analyst,Company_43,B.Sc in Data Science,"Machine Learning, JavaScript, SQL","Go, R",https://www.linkedin.com/company/company_43,https://dummyimage.com/100x100/000/fff.png&text=Company_43,6,8
Data Analyst,Company_44,B.E. in Electronics,"HTML, SQL, Docker","Python, JavaScript",https://www.linkedin.com/company/company_44,https://dummyimage.com/100x100/000/fff.png&text=Company_44,6,9
Backend Developer,Company_45,MCA,"CSS, Deep Learning, Python","JavaScript, SQL",https://www.linkedin.com/company/company_45,https://dummyimage.com/100x100/000/fff.png&text=Company_45,3,5
Data Analyst,Company_46,M.Tech in AI,"Machine Learning, Java, AWS","Go, JavaScript",https://www.linkedin.com/company/company_46,https://dummyimage.com/100x100/000/fff.png&text=Company_46,3,6
Software Engineer,Company_47,M.Tech in AI,"Kubernetes, Deep Learning, Node.js","Go, Ruby",https://www.linkedin.com/company/company_47,https://dummyimage.com/100x100/000/fff.png&text=Company_47,5,7
Software Engineer,Company_48,B.Sc in Data Science,"HTML, C++, Node.js","JavaScript, Java",https://www.linkedin.com/company/company_48,https://dummyimage.com/100x100/000/fff.png&text=Company_48,4,7
DevOps Engineer,Company_49,PhD in Artificial Intelligence,"JavaScript, C++, Deep Learning","C++, JavaScript",https://www.linkedin.com/company/company_49,https://dummyimage.com/100x100/000/fff.png&text=Company_49,5,6
Machine Learning Engineer,Company_50,B.Sc in Data Science,"CSS, React, Machine Learning","C++, SQL",https://www.linkedin.com/company/company_50,https://dummyimage.com/100x100/000/fff.png&text=Company_50,4,7
QA Engineer,Company_51,B.Tech in Computer Science,"CSS, SQL, AWS","Go, Java",https://www.linkedin.com/company/company_51,https://dummyimage.com/100x100/000/fff.png&text=Company_51,3,4
Frontend Developer,Company_52,M.Tech in AI,"Kubernetes, Python, Deep Learning","Scala, Python",https://www.linkedin.com/company/company_52,https://dummyimage.com/100x100/000/fff.png&text=Company_52,5,7
Backend Developer,Company_53,PhD in Artificial Intelligence,"SQL, JavaScript, C++","SQL, Java",https://www.linkedin.com/company/company_53,https://dummyimage.com/100x100/000/fff.png&text=Company_53,3,5
Frontend Developer,Company_54,B.Sc in Data Science,"Machine Learning, SQL, Docker","Ruby, Go",https://www.linkedin.com/company/company_54,https://dummyimage.com/100x100/000/fff.png&text=Company_54,6,9
Cloud Architect,Company_55,M.Tech in AI,"HTML, Kubernetes, SQL","Go, JavaScript",https://www.linkedin.com/company/company_55,https://dummyimage.com/100x100/000/fff.png&text=Company_55,3,6
Software Engineer,Company_56,M.Tech in AI,"C++, Machine Learning, CSS","SQL, JavaScript",https://www.linkedin.com/company/company_56,https://dummyimage.com/100x100/000/fff.png&text=Company_56,6,8
Data Scientist,Company_57,BCA,"React, Java, C++","R, JavaScript",https://www.linkedin.com/company/company_57,https://dummyimage.com/100x100/000/fff.png&text=Company_57,5,6
Frontend Developer,Company_58,B.Sc in IT,"SQL, Node.js, CSS","Scala, Go",https://www.linkedin.com/company/company_58,https://dummyimage.com/100x100/000/fff.png&text=Company_58,5,7
UI/UX Designer,Company_59,M.Tech in AI,"HTML, Machine Learning, SQL","C++, Scala",https://www.linkedin.com/company/company_59,https://dummyimage.com/100x100/000/fff.png&text=Company_59,3,4
Cloud Architect,Company_60,M.Tech in AI,"HTML, CSS, SQL","C++, Go",https://www.linkedin.com/company/company_60,https://dummyimage.com/100x100/000/fff.png&text=Company_60,4,6
Cloud Architect,Company_61,BCA,"Python, C++, JavaScript","R, SQL",https://www.linkedin.com/company/company_61,https://dummyimage.com/100x100/000/fff.png&text=Company_61,3,5
Software Engineer,Company_62,B.E. in Electronics,"Docker, Machine Learning, Deep Learning","Java, JavaScript",https://www.linkedin.com/company/company_62,https://dummyimage.com/100x100/000/fff.png&text=Company_62,6,8
QA Engineer,Company_63,B.Sc in IT,"Kubernetes, AWS, C++","R, C++",https://www.linkedin.com/company/company_63,https://dummyimage.com/100x100/000/fff.png&text=Company_63,5,7
Software Engineer,Company_64,B.Sc in Data Science,"Python, SQL, Node.js","Java, R",https://www.linkedin.com/company/company_64,https://dummyimage.com/100x100/000/fff.png&text=Company_64,4,7
Data Analyst,Company_65,PhD in Artificial Intelligence,"C++, AWS, SQL","Python, C++",https://www.linkedin.com/company/company_65,https://dummyimage.com/100x100/000/fff.png&text=Company_65,5,7
DevOps Engineer,Company_66,B.Sc in Data Science,"JavaScript, AWS, Node.js","SQL, JavaScript",https://www.linkedin.com/company/company_66,https://dummyimage.com/100x100/000/fff.png&text=Company_66,5,7
Cloud Architect,Company_67,PhD in Artificial Intelligence,"Node.js, HTML, Python","Go, C++",https://www.linkedin.com/company/company_67,https://dummyimage.com/100x100/000/fff.png&text=Company_67,6,8
Software Engineer,Company_68,M.Tech in AI,"JavaScript, Java, CSS","R, JavaScript",https://www.linkedin.com/company/company_68,https://dummyimage.com/100x100/000/fff.png&text=Company_68,4,7
Cloud Architect,Company_69,MCA,"Java, HTML, JavaScript","JavaScript, Java",https://www.linkedin.com/company/company_69,https://dummyimage.com/100x100/000/fff.png&text=Company_69,5,7
Cloud Architect,Company_70,M.Tech in AI,"CSS, AWS, Kubernetes","Python, Java",https://www.linkedin.com/company/company_70,https://dummyimage.com/100x100/000/fff.png&text=Company_70,6,9
Cloud Architect,Company_71,B.Tech in Computer Science,"CSS, JavaScript, SQL","Python, Java",https://www.linkedin.com/company/company_71,https://dummyimage.com/100x100/000/fff.png&text=Company_71,3,5
Machine Learning Engineer,Company_72,M.Tech in AI,"CSS, SQL, Python","Java, C++",https://www.linkedin.com/company/company_72,https://dummyimage.com/100x100/000/fff.png&text=Company_72,4,6
Data Scientist,Company_73,PhD in Artificial Intelligence,"AWS, Kubernetes, Machine Learning","SQL, R",https://www.linkedin.com/company/company_73,https://dummyimage.com/100x100/000/fff.png&text=Company_73,5,8
Software Engineer,Company_74,MCA,"C++, Python, Machine Learning","Java, Go",https://www.linkedin.com/company/company_74,https://dummyimage.com/100x100/000/fff.png&text=Company_74,4,6
QA Engineer,Company_75,MCA,"Docker, Python, Deep Learning","JavaScript, Go",https://www.linkedin.com/company/company_75,https://dummyimage.com/100x100/000/fff.png&text=Company_75,3,5
Software Engineer,Company_76,B.Sc in IT,"HTML, CSS, Node.js","Scala, SQL",https://www.linkedin.com/company/company_76,https://dummyimage.com/100x100/000/fff.png&text=Company_76,5,7
Backend Developer,Company_77,B.Sc in Data Science,"Docker, Kubernetes, AWS","JavaScript, Scala",https://www.linkedin.com/company/company_77,https://dummyimage.com/100x100/000/fff.png&text=Company_77,4,6
Frontend Developer,Company_78,B.Sc in IT,"CSS, React, AWS","SQL, R",https://www.linkedin.com/company/company_78,https://dummyimage.com/100x100/000/fff.png&text=Company_78,5,7
Cloud Architect,Company_79,B.Tech in Computer Science,"Deep Learning, C++, SQL","Ruby, SQL",https://www.linkedin.com/company/company_79,https://dummyimage.com/100x100/000/fff.png&text=Company_79,4,5
Data Scientist,Company_80,B.E. in Electronics,"SQL, C++, Java","Go, Scala",https://www.linkedin.com/company/company_80,https://dummyimage.com/100x100/000/fff.png&text=Company_80,6,8
Software Engineer,Company_81,B.Sc in Data Science,"CSS, HTML, AWS","Ruby, JavaScript",https://www.linkedin.com/company/company_81,https://dummyimage.com/100x100/000/fff.png&text=Company_81,5,6
Data Scientist,Company_82,B.Sc in Data Science,"Machine Learning, Java, HTML","C++, Scala",https://www.linkedin.com/company/company_82,https://dummyimage.com/100x100/000/fff.png&text=Company_82,6,9
UI/UX Designer,Company_83,B.Sc in Data Science,"JavaScript, Deep Learning, Python","Scala, SQL",https://www.linkedin.com/company/company_83,https://dummyimage.com/100x100/000/fff.png&text=Company_83,3,4
Frontend Developer,Company_84,B.Sc in Data Science,"Docker, Machine Learning, C++","Python, SQL",https://www.linkedin.com/company/company_84,https://dummyimage.com/100x100/000/fff.png&text=Company_84,4,5
Machine Learning Engineer,Company_85,B.E. in Electronics,"Kubernetes, Java, HTML","Scala, Java",https://www.linkedin.com/company/company_85,https://dummyimage.com/100x100/000/fff.png&text=Company_85,6,7
Machine Learning Engineer,Company_86,B.Tech in Computer Science,"Python, Machine Learning, React","Python, Scala",https://www.linkedin.com/company/company_86,https://dummyimage.com/100x100/000/fff.png&text=Company_86,6,7
Data Analyst,Company_87,PhD in Artificial Intelligence,"JavaScript, CSS, Node.js","Scala, Java",https://www.linkedin.com/company/company_87,https://dummyimage.com/100x100/000/fff.png&text=Company_87,5,6
Machine Learning Engineer,Company_88,B.Sc in Data Science,"AWS, Docker, React","JavaScript, C++",https://www.linkedin.com/company/company_88,https://dummyimage.com/100x100/000/fff.png&text=Company_88,6,8
QA Engineer,Company_89,B.E. in Electronics,"Docker, Node.js, C++","R, Go",https://www.linkedin.com/company/company_89,https://dummyimage.com/100x100/000/fff.png&text=Company_89,6,7
Cloud Architect,Company_90,BCA,"C++, Machine Learning, Node.js","C++, JavaScript",https://www.linkedin.com/company/company_90,https://dummyimage.com/100x100/000/fff.png&text=Company_90,4,5
Data Scientist,Company_91,M.Tech in AI,"React, Machine Learning, Deep Learning","Go, Java",https://www.linkedin.com/company/company_91,https://dummyimage.com/100x100/000/fff.png&text=Company_91,6,9
Machine Learning Engineer,Company_92,PhD in Artificial Intelligence,"Python, Kubernetes, React","SQL, JavaScript",https://www.linkedin.com/company/company_92,https://dummyimage.com/100x100/000/fff.png&text=Company_92,4,5
Frontend Developer,Company_93,MCA,"Deep Learning, Machine Learning, Node.js","C++, Scala",https://www.linkedin.com/company/company_93,https://dummyimage.com/100x100/000/fff.png&text=Company_93,3,6
Software Engineer,Company_94,PhD in Artificial Intelligence,"Python, SQL, CSS","Ruby, Java",https://www.linkedin.com/company/company_94,https://dummyimage.com/100x100/000/fff.png&text=Company_94,5,8
QA Engineer,Company_95,B.Sc in IT,"Java, Docker, AWS","Ruby, Go",https://www.linkedin.com/company/company_95,https://dummyimage.com/100x100/000/fff.png&text=Company_95,4,6
Cloud Architect,Company_96,PhD in Artificial Intelligence,"Deep Learning, JavaScript, C++","Python, C++",https://www.linkedin.com/company/company_96,https://dummyimage.com/100x100/000/fff.png&text=Company_96,5,7
Backend Developer,Company_97,B.E. in Electronics,"Machine Learning, C++, Kubernetes","R, JavaScript",https://www.linkedin.com/company/company_97,https://dummyimage.com/100x100/000/fff.png&text=Company_97,6,9
Backend Developer,Company_98,M.Tech in AI,"HTML, Node.js, Java","Python, Go",https://www.linkedin.com/company/company_98,https://dummyimage.com/100x100/000/fff.png&text=Company_98,6,8
Backend Developer,Company_99,PhD in Artificial Intelligence,"CSS, Machine Learning, C++","Go, SQL",https://www.linkedin.com/company/company_99,https://dummyimage.com/100x100/000/fff.png&text=Company_99,3,6
UI/UX Designer,Company_100,B.E. in Electronics,"Deep Learning, Java, Python","Scala, Go",https://www.linkedin.com/company/company_100,https://dummyimage.com/100x100/000/fff.png&text=Company_100,4,6
QA Engineer,Company_101,B.Tech in Computer Science,"CSS, SQL, Deep Learning","R, Java",https://www.linkedin.com/company/company_101,https://dummyimage.com/100x100/000/fff.png&text=Company_101,3,6
Cloud Architect,Company_102,MCA,"Node.js, C++, Docker","Scala, Java",https://www.linkedin.com/company/company_102,https://dummyimage.com/100x100/000/fff.png&text=Company_102,4,5
Frontend Developer,Company_103,B.Sc in Data Science,"AWS, C++, SQL","Go, Python",https://www.linkedin.com/company/company_103,https://dummyimage.com/100x100/000/fff.png&text=Company_103,4,6
Machine Learning Engineer,Company_104,M.Tech in AI,"Machine Learning, React, C++","SQL, Python",https://www.linkedin.com/company/company_104,https://dummyimage.com/100x100/000/fff.png&text=Company_104,6,9
DevOps Engineer,Company_105,PhD in Artificial Intelligence,"AWS, Deep Learning, React","JavaScript, Scala",https://www.linkedin.com/company/company_105,https://dummyimage.com/100x100/000/fff.png&text=Company_105,4,6
Backend Developer,Company_106,B.Tech in Computer Science,"Machine Learning, C++, HTML","Scala, JavaScript",https://www.linkedin.com/company/company_106,https://dummyimage.com/100x100/000/fff.png&text=Company_106,6,9
Software Engineer,Company_107,B.Tech in Computer Science,"JavaScript, SQL, Java","SQL, C++",https://www.linkedin.com/company/company_107,https://dummyimage.com/100x100/000/fff.png&text=Company_107,6,7
DevOps Engineer,Company_108,B.Sc in IT,"C++, SQL, Deep Learning","JavaScript, C++",https://www.linkedin.com/company/company_108,https://dummyimage.com/100x100/000/fff.png&text=Company_108,4,5
DevOps Engineer,Company_109,MCA,"Python, Kubernetes, Machine Learning","Java, JavaScript",https://www.linkedin.com/company/company_109,https://dummyimage.com/100x100/000/fff.png&text=Company_109,3,5
QA Engineer,Company_110,B.Sc in Data Science,"Java, Node.js, SQL","C++, JavaScript",https://www.linkedin.com/company/company_110,https://dummyimage.com/100x100/000/fff.png&text=Company_110,4,7
Frontend Developer,Company_111,B.Sc in IT,"AWS, Docker, Node.js","R, JavaScript",https://www.linkedin.com/company/company_111,https://dummyimage.com/100x100/000/fff.png&text=Company_111,5,6
Cloud Architect,Company_112,MCA,"C++, HTML, Deep Learning","Python, Ruby",https://www.linkedin.com/company/company_112,https://dummyimage.com/100x100/000/fff.png&text=Company_112,4,6
Data Scientist,Company_113,B.E. in Electronics,"Java, JavaScript, Kubernetes","Ruby, SQL",https://www.linkedin.com/company/company_113,https://dummyimage.com/100x100/000/fff.png&text=Company_113,4,7
QA Engineer,Company_114,B.Sc in Data Science,"HTML, Docker, Node.js","C++, SQL",https://www.linkedin.com/company/company_114,https://dummyimage.com/100x100/000/fff.png&text=Company_114,6,8
Cloud Architect,Company_115,B.Sc in IT,"CSS, Node.js, Java","Java, Scala",https://www.linkedin.com/company/company_115,https://dummyimage.com/100x100/000/fff.png&text=Company_115,5,6
Machine Learning Engineer,Company_116,B.Tech in Computer Science,"AWS, Machine Learning, Node.js","Python, R",https://www.linkedin.com/company/company_116,https://dummyimage.com/100x100/000/fff.png&text=Company_116,5,7
Backend Developer,Company_117,MCA,"Docker, React, JavaScript","Python, R",https://www.linkedin.com/company/company_117,https://dummyimage.com/100x100/000/fff.png&text=Company_117,3,4
Data Analyst,Company_118,PhD in Artificial Intelligence,"Docker, C++, Node.js","R, SQL",https://www.linkedin.com/company/company_118,https://dummyimage.com/100x100/000/fff.png&text=Company_118,5,6
Cloud Architect,Company_119,B.Tech in Computer Science,"HTML, CSS, Java","Ruby, Java",https://www.linkedin.com/company/company_119,https://dummyimage.com/100x100/000/fff.png&text=Company_119,4,6
Data Analyst,Company_120,PhD in Artificial Intelligence,"SQL, JavaScript, React","Go, Scala",https://www.linkedin.com/company/company_120,https://dummyimage.com/100x100/000/fff.png&text=Company_120,4,7
Data Analyst,Company_121,PhD in Artificial Intelligence,"SQL, AWS, Docker","Java, Python",https://www.linkedin.com/company/company_121,https://dummyimage.com/100x100/000/fff.png&text=Company_121,4,6
Data Analyst,Company_122,PhD in Artificial Intelligence,"Java, Docker, HTML","JavaScript, Ruby",https://www.linkedin.com/company/company_122,https://dummyimage.com/100x100/000/fff.png&text=Company_122,4,6
Cloud Architect,Company_123,BCA,"AWS, React, Node.js","Java, Python",https://www.linkedin.com/company/company_123,https://dummyimage.com/100x100/000/fff.png&text=Company_123,5,7
QA Engineer,Company_124,B.Sc in Data Science,"SQL, React, AWS","Java, SQL",https://www.linkedin.com/company/company_124,https://dummyimage.com/100x100/000/fff.png&text=Company_124,4,6
UI/UX Designer,Company_125,B.Sc in Data Science,"Python, React, C++","Ruby, Java",https://www.linkedin.com/company/company_125,https://dummyimage.com/100x100/000/fff.png&text=Company_125,5,7
Software Engineer,Company_126,M.Tech in AI,"Node.js, Deep Learning, React","Go, Python",https://www.linkedin.com/company/company_126,https://dummyimage.com/100x100/000/fff.png&text=Company_126,3,5
Machine Learning Engineer,Company_127,B.Sc in IT,"React, JavaScript, Node.js","Ruby, SQL",https://www.linkedin.com/company/company_127,https://dummyimage.com/100x100/000/fff.png&text=Company_127,3,5
UI/UX Designer,Company_128,B.Sc in Data Science,"Docker, C++, React","Go, Scala",https://www.linkedin.com/company/company_128,https://dummyimage.com/100x100/000/fff.png&text=Company_128,6,9
Frontend Developer,Company_129,M.Tech in AI,"Python, Machine Learning, HTML","Scala, C++",https://www.linkedin.com/company/company_129,https://dummyimage.com/100x100/000/fff.png&text=Company_129,3,4
Software Engineer,Company_130,B.E. in Electronics,"Kubernetes, Deep Learning, AWS","C++, SQL",https://www.linkedin.com/company/company_130,https://dummyimage.com/100x100/000/fff.png&text=Company_130,3,6
Software Engineer,Company_131,B.Tech in Computer Science,"React, Kubernetes, CSS","Ruby, JavaScript",https://www.linkedin.com/company/company_131,https://dummyimage.com/100x100/000/fff.png&text=Company_131,6,7
UI/UX Designer,Company_132,MCA,"C++, Machine Learning, Java","C++, JavaScript",https://www.linkedin.com/company/company_132,https://dummyimage.com/100x100/000/fff.png&text=Company_132,4,6
QA Engineer,Company_133,MCA,"React, HTML, Kubernetes","R, Scala",https://www.linkedin.com/company/company_133,https://dummyimage.com/100x100/000/fff.png&text=Company_133,5,6
DevOps Engineer,Company_134,B.Sc in IT,"Node.js, AWS, Python","Java, C++",https://www.linkedin.com/company/company_134,https://dummyimage.com/100x100/000/fff.png&text=Company_134,6,7
Backend Developer,Company_135,B.E. in Electronics,"Docker, Java, CSS","Go, C++",https://www.linkedin.com/company/company_135,https://dummyimage.com/100x100/000/fff.png&text=Company_135,3,5
QA Engineer,Company_136,B.Sc in Data Science,"Deep Learning, HTML, CSS","Java, JavaScript",https://www.linkedin.com/company/company_136,https://dummyimage.com/100x100/000/fff.png&text=Company_136,5,7
Cloud Architect,Company_137,PhD in Artificial Intelligence,"SQL, Docker, React","R, Python",https://www.linkedin.com/company/company_137,https://dummyimage.com/100x100/000/fff.png&text=Company_137,5,8
Software Engineer,Company_138,BCA,"SQL, Deep Learning, Python","Go, Ruby",https://www.linkedin.com/company/company_138,https://dummyimage.com/100x100/000/fff.png&text=Company_138,3,6
Cloud Architect,Company_139,PhD in Artificial Intelligence,"Java, React, Machine Learning","JavaScript, Python",https://www.linkedin.com/company/company_139,https://dummyimage.com/100x100/000/fff.png&text=Company_139,4,7
Cloud Architect,Company_140,B.E. in Electronics,"C++, React, SQL","Python, JavaScript",https://www.linkedin.com/company/company_140,https://dummyimage.com/100x100/000/fff.png&text=Company_140,6,9
Software Engineer,Company_141,BCA,"Docker, JavaScript, Machine Learning","C++, Python",https://www.linkedin.com/company/company_141,https://dummyimage.com/100x100/000/fff.png&text=Company_141,5,8
Backend Developer,Company_142,PhD in Artificial Intelligence,"Kubernetes, React, Node.js","Scala, JavaScript",https://www.linkedin.com/company/company_142,https://dummyimage.com/100x100/000/fff.png&text=Company_142,4,6
QA Engineer,Company_143,B.Sc in Data Science,"Node.js, AWS, Deep Learning","Scala, Go",https://www.linkedin.com/company/company_143,https://dummyimage.com/100x100/000/fff.png&text=Company_143,4,5
Software Engineer,Company_144,B.Sc in Data Science,"C++, AWS, Docker","R, Go",https://www.linkedin.com/company/company_144,https://dummyimage.com/100x100/000/fff.png&text=Company_144,3,5
Data Analyst,Company_145,B.Sc in IT,"Docker, CSS, Deep Learning","Ruby, R",https://www.linkedin.com/company/company_145,https://dummyimage.com/100x100/000/fff.png&text=Company_145,6,7
Frontend Developer,Company_146,PhD in Artificial Intelligence,"React, Python, JavaScript","C++, Go",https://www.linkedin.com/company/company_146,https://dummyimage.com/100x100/000/fff.png&text=Company_146,6,9
Frontend Developer,Company_147,BCA,"Deep Learning, Machine Learning, HTML","Python, JavaScript",https://www.linkedin.com/company/company_147,https://dummyimage.com/100x100/000/fff.png&text=Company_147,3,6
UI/UX Designer,Company_148,B.Sc in IT,"HTML, React, C++","Java, Go",https://www.linkedin.com/company/company_148,https://dummyimage.com/100x100/000/fff.png&text=Company_148,5,6
